,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2013-02-28,20641,8,1824,317,8,20,22818
2013-03-01,25752,10,1404,363,13,18,27560
2013-03-02,22768,11,790,342,17,20,23948
2013-03-03,28694,5,682,392,10,19,29802
2013-03-04,20944,8,1971,292,8,21,23244
2013-03-05,19714,8,2011,288,11,19,22051
2013-03-06,19430,11,1905,307,7,17,21677
2013-03-07,18961,9,1813,322,8,17,21130
2013-03-08,23522,8,1484,384,10,19,25427
2013-03-09,22717,9,722,345,11,15,23819
2013-03-10,25795,5,561,572,5,21,26959
2013-03-11,19603,8,2042,331,14,20,22018
2013-03-12,18828,13,2317,279,18,12,21467
2013-03-13,19004,11,1967,305,10,23,21320
2013-03-14,16668,10,1280,387,13,21,18379
2013-03-15,22573,8,1239,406,11,17,24254
2013-03-16,23706,10,752,491,30,16,25005
2013-03-17,26322,6,757,505,15,23,27628
2013-03-18,19518,10,2141,265,3,20,21957
2013-03-19,21366,9,1937,323,10,7,23652
2013-03-20,19517,13,1916,381,20,20,21867
2013-03-21,21522,13,1795,373,21,3,23727
2013-03-22,27092,14,1297,451,28,27,28909
2013-03-23,29666,9,793,509,33,26,31036
2013-03-24,27078,6,688,497,6,30,28305
2013-03-25,18990,10,1976,305,10,19,21310
2013-03-26,18154,9,1835,325,16,25,20364
2013-03-27,22677,9,1955,407,19,26,25093
2013-03-28,29897,14,1686,450,28,25,32100
2013-03-29,39288,11,1120,441,24,26,40910
2013-03-30,28326,10,455,454,18,27,29290
2013-03-31,25205,4,235,345,7,31,25827
2013-04-01,44726,4,625,543,18,46,45962
2013-04-02,31701,9,2244,451,11,41,34457
2013-04-03,22484,7,1861,430,26,30,24838
2013-04-04,21666,8,1910,408,34,32,24058
2013-04-05,25825,4,1555,426,24,35,27869
2013-04-06,29665,7,901,510,25,41,31149
2013-04-07,32950,7,751,599,20,40,34367
2013-04-08,19695,8,2051,321,24,39,22138
2013-04-09,19048,10,2239,371,17,39,21724
2013-04-10,20733,8,2051,378,20,35,23225
2013-04-11,20802,11,1819,390,25,36,23083
2013-04-12,23880,12,1360,453,28,25,25758
2013-04-13,27302,9,781,569,32,51,28744
2013-04-14,36145,7,657,590,27,45,37471
2013-04-15,22301,7,2114,296,32,40,24790
2013-04-16,19245,10,1686,343,37,45,21366
2013-04-17,21905,10,2139,457,34,38,24583
2013-04-18,23121,7,1928,470,29,45,25600
2013-04-19,25464,11,1567,441,31,60,27574
2013-04-20,29967,10,825,549,22,70,31443
2013-04-21,35701,9,763,712,24,50,37259
2013-04-22,22428,7,2558,395,24,37,25449
2013-04-23,21200,11,2079,373,23,43,23729
2013-04-24,22198,11,2390,521,31,37,25188
2013-04-25,28857,9,1965,647,34,40,31552
2013-04-26,33172,10,2212,645,60,62,36161
2013-04-27,45816,9,685,774,53,96,47433
2013-04-28,43402,9,839,977,61,65,45353
2013-04-29,31251,9,2318,546,43,51,34218
2013-04-30,40060,11,2004,620,67,53,42815
2013-05-01,42570,11,630,819,78,60,44168
2013-05-02,41981,9,1348,633,65,47,44083
2013-05-03,37639,11,1865,687,88,57,40347
2013-05-04,60329,10,840,1167,144,126,62616
2013-05-05,63129,8,474,906,57,108,64682
2013-05-06,34345,8,2294,477,22,59,37205
2013-05-07,25513,11,2221,468,32,65,28310
2013-05-08,25091,11,2113,618,46,53,27932
2013-05-09,31844,9,1895,606,72,76,34502
2013-05-10,30084,11,1531,573,81,58,32338
2013-05-11,33081,9,758,603,57,120,34628
2013-05-12,51696,8,749,767,47,116,53383
2013-05-13,26890,6,2257,445,16,56,29670
2013-05-14,23214,11,2164,419,54,60,25922
2013-05-15,24076,11,2310,555,57,50,27059
2013-05-16,28197,9,2490,557,24,54,31331
2013-05-17,33374,11,1681,734,45,64,35909
2013-05-18,35203,13,720,671,60,149,36816
2013-05-19,37331,10,631,728,48,75,38823
2013-05-20,40323,8,2568,682,48,60,43689
2013-05-21,30213,9,2154,539,58,69,33042
2013-05-22,25583,10,2061,545,51,56,28306
2013-05-23,27259,9,2249,570,44,57,30188
2013-05-24,35854,10,2011,655,63,63,38656
2013-05-25,32786,8,761,892,35,155,34637
2013-05-26,37008,6,719,785,41,82,38641
2013-05-27,26601,9,2624,476,41,60,29811
2013-05-28,25965,9,2451,533,54,63,29075
2013-05-29,29726,10,1875,663,66,58,32398
2013-05-30,35911,8,1048,726,56,61,37810
2013-05-31,36442,8,1671,561,62,66,38810
2013-06-01,41518,10,1001,886,45,169,43629
2013-06-02,54785,7,653,935,63,96,56539
2013-06-03,28429,7,2334,655,47,70,31542
2013-06-04,26473,8,2540,573,42,74,29710
2013-06-05,25296,7,2305,547,41,63,28259
2013-06-06,26793,7,1825,573,58,61,29317
2013-06-07,30820,9,1572,736,90,91,33318
2013-06-08,37173,9,974,849,79,195,39279
2013-06-09,51104,7,703,951,95,114,52974
2013-06-10,29761,6,2220,590,45,77,32699
2013-06-11,25498,7,2372,491,53,72,28493
2013-06-12,25781,7,2244,566,37,79,28714
2013-06-13,30466,7,2169,540,58,93,33333
2013-06-14,36945,7,1865,715,76,81,39689
2013-06-15,41526,8,926,976,90,209,43735
2013-06-16,59062,7,740,989,211,137,61146
2013-06-17,32154,9,2444,545,64,78,35294
2013-06-18,29830,8,2217,522,75,86,32738
2013-06-19,30520,9,2349,571,85,95,33629
2013-06-20,35286,7,2325,587,78,95,38378
2013-06-21,46779,8,2131,738,133,93,49882
2013-06-22,57214,9,886,1225,109,215,59658
2013-06-23,59759,9,786,1043,219,162,61978
2013-06-24,43670,11,2436,562,60,83,46822
2013-06-25,46218,9,1314,592,74,92,48299
2013-06-26,38216,12,2161,666,61,95,41211
2013-06-27,38315,7,2084,656,67,112,41241
2013-06-28,49888,12,2240,676,140,88,53044
2013-06-29,64086,8,1101,1186,105,219,66705
2013-06-30,68296,10,663,1391,182,134,70676
2013-07-01,39496,10,1964,641,63,99,42273
2013-07-02,33894,12,1953,616,85,105,36665
2013-07-03,32462,10,2127,723,83,90,35495
2013-07-04,38014,7,1780,643,90,113,40647
2013-07-05,48608,11,1680,719,121,111,51250
2013-07-06,68750,7,863,1144,125,238,71127
2013-07-07,77787,7,771,996,193,148,79902
2013-07-08,48858,8,2512,558,77,110,52123
2013-07-09,39263,8,2043,598,62,110,42084
2013-07-10,42051,8,2191,632,75,114,45071
2013-07-11,47521,7,2245,728,80,111,50692
2013-07-12,55533,10,1547,722,146,92,58050
2013-07-13,76456,7,962,837,145,241,78648
2013-07-14,88788,8,685,1026,219,165,90891
2013-07-15,53835,10,2786,564,148,108,57451
2013-07-16,43521,10,2164,601,78,120,46494
2013-07-17,46488,9,2087,675,86,117,49462
2013-07-18,51385,11,2289,649,121,122,54577
2013-07-19,63850,11,2175,639,168,91,66934
2013-07-20,98357,10,1067,1129,209,247,101019
2013-07-21,94298,10,767,1027,194,153,96449
2013-07-22,60105,9,2504,658,117,113,63506
2013-07-23,42942,10,2160,567,111,117,45907
2013-07-24,56189,9,2232,683,112,128,59353
2013-07-25,63798,6,1935,659,127,127,66652
2013-07-26,81563,9,1548,696,210,122,84148
2013-07-27,115844,10,661,930,197,227,117869
2013-07-28,102527,9,612,1147,287,203,104785
2013-07-29,61586,8,2213,529,109,116,64561
2013-07-30,59678,7,2254,586,93,120,62738
2013-07-31,61645,11,2264,782,115,125,64942
2013-08-01,72459,9,1807,946,117,141,75479
2013-08-02,91483,11,1452,732,231,122,94031
2013-08-03,123209,10,668,1243,162,271,125563
2013-08-04,107673,9,673,1347,203,164,110069
2013-08-05,68307,7,1559,647,110,120,70750
2013-08-06,59773,9,2058,818,124,128,62910
2013-08-07,59885,12,2059,1645,152,111,63864
2013-08-08,63308,13,1814,628,202,122,66087
2013-08-09,86967,8,1478,744,121,108,89426
2013-08-10,121598,7,740,1039,97,236,123717
2013-08-11,105722,7,613,977,210,161,107690
2013-08-12,68138,7,1985,627,228,114,71099
2013-08-13,59982,9,1770,648,242,112,62763
2013-08-14,73660,7,1721,855,86,126,76455
2013-08-15,81094,5,621,835,162,156,82873
2013-08-16,94451,9,1392,812,327,105,97096
2013-08-17,138567,12,598,1011,512,219,140919
2013-08-18,132343,8,568,1207,614,173,134913
2013-08-19,76039,7,2017,714,408,118,79303
2013-08-20,64300,10,1572,683,67,105,66737
2013-08-21,58462,8,2045,705,138,113,61471
2013-08-22,65684,9,2154,760,564,118,69289
2013-08-23,88417,10,1616,1048,560,98,91749
2013-08-24,125583,11,625,1455,543,219,128436
2013-08-25,111001,5,716,1264,80,136,113202
2013-08-26,59704,8,2383,715,133,88,63031
2013-08-27,52001,10,1909,689,115,101,54825
2013-08-28,50743,12,2140,698,101,92,53786
2013-08-29,60591,8,1970,746,173,115,63603
2013-08-30,76196,11,1752,749,210,99,79017
2013-08-31,102087,8,858,1011,161,243,104368
2013-09-01,104697,9,660,1240,181,155,106942
2013-09-02,53051,10,2750,683,72,77,56643
2013-09-03,41032,9,1869,658,91,78,43737
2013-09-04,42440,8,1932,676,65,75,45196
2013-09-05,48578,7,2367,655,112,97,51816
2013-09-06,62254,8,1571,704,150,92,64779
2013-09-07,73034,9,916,1012,127,210,75308
2013-09-08,80910,7,746,1203,261,153,83280
2013-09-09,45226,7,2322,624,56,71,48306
2013-09-10,38749,8,2143,625,52,75,41652
2013-09-11,37858,7,2120,725,42,76,40828
2013-09-12,39939,8,2095,732,64,80,42918
2013-09-13,43283,8,1658,823,92,77,45941
2013-09-14,62574,8,649,1035,82,191,64539
2013-09-15,61558,8,734,1034,77,111,63522
2013-09-16,34668,8,2432,582,50,76,37816
2013-09-17,32233,11,2273,759,29,69,35374
2013-09-18,31696,10,1962,646,61,75,34450
2013-09-19,33714,7,1912,628,66,78,36405
2013-09-20,40731,8,1775,771,79,77,43441
2013-09-21,46371,9,1032,1162,64,195,48833
2013-09-22,51646,9,721,910,111,119,53516
2013-09-23,31856,8,2469,580,48,83,35044
2013-09-24,27895,12,2239,604,55,75,30880
2013-09-25,28819,9,2382,633,42,70,31955
2013-09-26,32583,9,2257,753,62,78,35742
2013-09-27,38278,9,1707,884,82,74,41034
2013-09-28,43009,69,756,955,76,170,45035
2013-09-29,44520,6,721,1197,31,91,46566
2013-09-30,28765,10,2393,542,20,63,31793
2013-10-01,25209,8,2259,541,34,63,28114
2013-10-02,26366,7,2382,688,37,21,29501
2013-10-03,32237,8,2274,673,47,80,35319
2013-10-04,35618,5,1610,832,49,56,38170
2013-10-05,39944,10,830,995,32,148,41959
2013-10-06,39520,8,825,966,23,82,41424
2013-10-07,26566,8,2823,587,13,50,30047
2013-10-08,25259,9,1520,478,16,51,27333
2013-10-09,22394,9,2213,798,50,41,25505
2013-10-10,25830,7,2290,598,31,49,28805
2013-10-11,32614,9,2044,638,38,44,35387
2013-10-12,34151,8,755,868,29,104,35915
2013-10-13,40046,7,700,804,29,68,41654
2013-10-14,24497,7,2503,486,20,57,27570
2013-10-15,21765,9,2456,481,26,56,24793
2013-10-16,25493,8,2124,599,21,39,28284
2013-10-17,24787,9,2051,609,36,52,27544
2013-10-18,28532,7,1949,613,31,49,31181
2013-10-19,33226,12,855,699,28,86,34906
2013-10-20,38448,11,835,916,31,67,40308
2013-10-21,24015,12,2314,452,23,50,26866
2013-10-22,21133,11,2451,474,20,55,24144
2013-10-23,22913,10,2244,505,22,37,25731
2013-10-24,24638,8,2480,540,29,49,27744
2013-10-25,28301,7,1844,585,24,45,30806
2013-10-26,33971,11,952,675,22,75,35706
2013-10-27,35762,13,663,717,25,40,37220
2013-10-28,25090,8,2512,416,23,23,28072
2013-10-29,24005,12,2532,392,27,24,26992
2013-10-30,33965,9,2294,449,15,27,36759
2013-10-31,39494,12,1639,499,18,32,41694
2013-11-01,36512,10,661,495,22,26,37726
2013-11-02,37887,10,704,420,17,30,39068
2013-11-03,60444,9,746,704,16,32,61951
2013-11-04,26235,10,2579,397,10,19,29250
2013-11-05,20128,8,2440,337,11,18,22942
2013-11-06,20206,10,2270,446,18,19,22969
2013-11-07,22018,11,2247,481,26,21,24804
2013-11-08,26541,10,2010,418,20,21,29020
2013-11-09,26122,10,819,545,8,17,27521
2013-11-10,28447,7,717,603,11,20,29805
2013-11-11,19894,11,2245,325,2,18,22495
2013-11-12,19401,8,2362,327,9,24,22131
2013-11-13,19871,7,1964,373,28,16,22259
2013-11-14,22184,8,2094,355,9,20,24670
2013-11-15,25828,13,1836,355,11,19,28062
2013-11-16,25792,6,983,550,10,13,27354
2013-11-17,30354,5,658,482,17,24,31540
2013-11-18,21265,9,2818,291,13,21,24417
2013-11-19,20327,9,2348,278,5,17,22984
2013-11-20,20605,8,2375,338,6,1,23333
2013-11-21,21807,8,2029,326,10,6,24186
2013-11-22,25360,11,1917,382,7,9,27686
2013-11-23,22328,9,834,437,6,14,23628
2013-11-24,27869,10,765,392,17,17,29070
2013-11-25,22748,10,2423,300,5,15,25501
2013-11-26,17484,12,2074,285,8,15,19878
2013-11-27,17668,7,2003,323,10,15,20026
2013-11-28,20312,9,2296,346,14,19,22996
2013-11-29,24831,7,1909,371,16,23,27157
2013-11-30,23586,11,965,518,11,17,25108
2013-12-01,26692,6,641,474,6,19,27838
2013-12-02,20771,11,2467,270,7,11,23537
2013-12-03,18191,10,2094,281,7,19,20602
2013-12-04,19609,10,2165,368,13,17,22182
2013-12-05,20669,9,2146,361,16,16,23217
2013-12-06,23251,12,2020,388,14,22,25707
2013-12-07,21626,10,649,481,11,18,22795
2013-12-08,25448,10,767,434,9,24,26692
2013-12-09,19304,9,2486,263,9,17,22088
2013-12-10,19557,7,2496,272,11,21,22364
2013-12-11,19934,8,2472,372,10,18,22814
2013-12-12,20697,5,1968,321,9,15,23015
2013-12-13,23936,9,1728,363,13,20,26069
2013-12-14,23628,8,896,438,7,17,24994
2013-12-15,26029,10,757,415,9,20,27240
2013-12-16,19668,11,2383,250,12,18,22342
2013-12-17,19363,11,2493,301,8,5,22181
2013-12-18,23148,11,2147,346,12,16,25680
2013-12-19,26041,6,1759,451,20,22,28299
2013-12-20,36867,16,1524,428,8,19,38862
2013-12-21,48825,10,742,610,7,16,50210
2013-12-22,34473,10,556,581,6,19,35645
2013-12-23,31802,8,1226,325,9,15,33385
2013-12-24,29045,11,543,299,6,13,29917
2013-12-25,21535,5,133,301,2,8,21984
2013-12-26,23717,5,367,360,2,12,24463
2013-12-27,29692,11,944,343,9,12,31011
2013-12-28,29691,10,467,405,7,16,30596
2013-12-29,28305,9,485,497,5,16,29317
2013-12-30,29207,9,935,436,7,13,30607
2013-12-31,19444,7,377,336,8,10,20182
2014-01-01,21122,6,213,287,6,10,21644
2014-01-02,31497,9,893,579,9,19,33006
2014-01-03,35302,9,1085,554,14,14,36978
2014-01-04,38973,10,438,516,7,13,39957
2014-01-05,42359,7,318,648,5,18,43355
2014-01-06,34155,10,841,514,4,16,35540
2014-01-07,22491,22,1647,350,7,20,24537
2014-01-08,23146,9,1837,335,6,17,25350
2014-01-09,21923,9,1737,340,12,14,24035
2014-01-10,24328,8,1469,351,6,17,26179
2014-01-11,26610,8,616,442,6,16,27698
2014-01-12,28561,7,614,528,5,20,29735
2014-01-13,20131,11,2189,267,14,15,22627
2014-01-14,18311,8,1843,273,8,19,20462
2014-01-15,17906,7,2014,367,10,15,20319
2014-01-16,19058,9,1533,357,14,14,20985
2014-01-17,23360,8,1626,316,10,19,25339
2014-01-18,25111,8,668,386,7,13,26193
2014-01-19,22916,9,587,469,6,19,24006
2014-01-20,19953,10,2239,285,6,19,22512
2014-01-21,17641,14,2043,249,6,16,19969
2014-01-22,19270,13,1964,328,9,17,21601
2014-01-23,19250,9,2008,336,9,17,21629
2014-01-24,18612,8,1311,310,8,16,20265
2014-01-25,19466,9,613,368,2,9,20467
2014-01-26,19784,9,547,371,8,20,20739
2014-01-27,18115,9,2047,251,11,19,20452
2014-01-28,14738,10,1503,284,16,15,16566
2014-01-29,16226,10,1756,302,10,14,18318
2014-01-30,15880,7,1609,295,7,15,17813
2014-01-31,20239,10,1348,319,9,18,21943
2014-02-01,18339,8,646,398,1,11,19403
2014-02-02,18304,5,573,427,7,21,19337
2014-02-03,16455,10,2018,252,7,14,18756
2014-02-04,15682,17,1738,272,6,15,17730
2014-02-05,16569,8,1824,346,9,18,18774
2014-02-06,17323,7,1993,286,8,16,19633
2014-02-07,21503,8,1421,305,14,19,23270
2014-02-08,19565,8,625,363,6,13,20580
2014-02-09,21958,7,571,441,6,19,23002
2014-02-10,19182,12,2138,252,6,16,21606
2014-02-11,17371,10,2042,271,6,14,19714
2014-02-12,17029,10,2071,309,10,18,19447
2014-02-13,19936,10,1844,337,10,19,22156
2014-02-14,23787,8,1625,340,8,20,25788
2014-02-15,24889,9,666,411,13,18,26006
2014-02-16,25688,6,625,482,5,24,26830
2014-02-17,20094,11,1936,246,6,17,22310
2014-02-18,18000,8,2255,288,6,17,20574
2014-02-19,18623,10,1960,330,13,16,20952
2014-02-20,20214,9,1961,358,16,23,22581
2014-02-21,24358,11,1425,315,15,15,26139
2014-02-22,21756,8,653,328,5,14,22764
2014-02-23,28082,9,1157,446,6,20,29720
2014-02-24,18738,9,2270,253,12,18,21300
2014-02-25,18147,10,1933,257,12,21,20380
2014-02-26,19318,10,2303,309,9,17,21966
2014-02-27,19233,10,1821,382,9,16,21471
2014-02-28,25677,9,1677,375,12,22,27772
2014-03-01,24431,10,799,480,6,12,25738
2014-03-02,26345,9,694,482,7,18,27555
2014-03-03,20617,9,2460,343,11,16,23456
2014-03-04,19566,10,2093,326,11,16,22022
2014-03-05,19507,12,1849,382,12,16,21778
2014-03-06,19942,9,2047,369,7,23,22397
2014-03-07,25535,10,1638,446,10,18,27657
2014-03-08,24684,11,608,499,12,16,25830
2014-03-09,35691,11,622,629,3,26,36982
2014-03-10,21633,11,2417,311,6,19,24397
2014-03-11,18814,12,2184,289,11,19,21329
2014-03-12,19542,11,2004,366,10,23,21956
2014-03-13,20630,11,2058,371,8,8,23086
2014-03-14,27899,10,1866,392,8,24,30199
2014-03-15,27809,9,725,467,10,20,29040
2014-03-16,34428,9,687,544,4,23,35695
2014-03-17,23093,11,2185,287,7,20,25603
2014-03-18,19187,10,2770,303,11,15,22296
2014-03-19,20876,11,2098,396,9,22,23412
2014-03-20,22133,10,2111,466,15,26,24761
2014-03-21,26120,11,1667,373,17,29,28217
2014-03-22,27023,9,917,440,12,22,28423
2014-03-23,29618,7,646,546,4,19,30840
2014-03-24,20978,9,2501,285,8,26,23807
2014-03-25,19536,9,2350,309,14,20,22238
2014-03-26,20112,10,2783,392,7,19,23323
2014-03-27,21879,10,2266,423,16,23,24617
2014-03-28,25852,9,1818,415,19,25,28138
2014-03-29,26538,10,709,500,25,25,27807
2014-03-30,34329,8,724,568,19,37,35685
2014-03-31,22267,11,2660,304,18,29,25289
2014-04-01,19934,10,2446,328,19,42,22779
2014-04-02,20946,10,1905,374,20,38,23293
2014-04-03,23639,10,2098,415,17,41,26220
2014-04-04,27036,13,1984,440,10,30,29513
2014-04-05,27823,9,848,524,11,50,29265
2014-04-06,34587,7,638,741,8,32,36013
2014-04-07,22992,12,2997,315,18,35,26369
2014-04-08,20077,9,2480,355,23,39,22983
2014-04-09,21020,13,2702,451,13,30,24229
2014-04-10,24346,11,2249,541,19,46,27212
2014-04-11,32317,12,2141,530,17,40,35057
2014-04-12,38208,10,1037,689,29,65,40038
2014-04-13,41343,9,887,689,33,83,43044
2014-04-14,25502,9,2520,336,15,91,28473
2014-04-15,27170,9,3062,396,63,42,30742
2014-04-16,30829,9,2160,481,27,21,33527
2014-04-17,37737,10,2199,673,30,47,40696
2014-04-18,49215,9,1064,644,33,48,51013
2014-04-19,37876,13,452,489,35,64,38929
2014-04-20,33387,10,188,388,18,45,34036
2014-04-21,61635,10,636,746,17,48,63092
2014-04-22,39613,12,2612,618,19,48,42922
2014-04-23,27129,11,2562,517,26,37,30282
2014-04-24,28621,11,2022,616,34,40,31344
2014-04-25,37513,9,1957,631,38,46,40194
2014-04-26,46657,12,877,856,68,84,48554
2014-04-27,52470,9,746,965,33,47,54270
2014-04-28,27814,12,2605,500,17,47,30995
2014-04-29,26701,9,2553,579,43,48,29933
2014-04-30,38168,10,1606,692,36,55,40567
2014-05-01,39178,10,320,926,35,50,40519
2014-05-02,40130,11,842,570,53,55,41661
2014-05-03,65372,14,641,1059,45,113,67244
2014-05-04,79078,10,660,1160,107,80,81095
2014-05-05,33347,10,2401,588,30,49,36425
2014-05-06,25799,9,2039,519,34,67,28467
2014-05-07,25324,10,2092,542,27,56,28051
2014-05-08,26371,12,1917,570,35,43,28948
2014-05-09,28370,12,1737,537,37,62,30755
2014-05-10,33131,10,840,672,39,143,34835
2014-05-11,41243,7,606,718,32,78,42684
2014-05-12,26950,11,2400,461,20,42,29884
2014-05-13,22178,9,2283,494,24,51,25039
2014-05-14,22797,9,2286,480,24,53,25649
2014-05-15,23880,8,2019,637,23,60,26627
2014-05-16,27461,6,1448,640,35,53,29643
2014-05-17,27533,7,597,697,38,121,28993
2014-05-18,33500,7,522,700,31,80,34840
2014-05-19,24352,7,2246,502,17,56,27180
2014-05-20,21288,8,2048,496,29,64,23933
2014-05-21,23149,10,2182,581,36,62,26020
2014-05-22,23125,9,2421,565,38,57,26215
2014-05-23,29614,6,1784,668,49,63,32184
2014-05-24,35500,6,761,816,49,150,37282
2014-05-25,45599,7,698,714,85,115,47218
2014-05-26,27771,7,2601,496,30,61,30966
2014-05-27,22144,6,2091,493,26,65,24825
2014-05-28,25872,6,1888,551,34,78,28429
2014-05-29,32740,6,1907,584,48,63,35348
2014-05-30,32137,6,1775,714,79,88,34799
2014-05-31,37681,7,828,915,53,167,39651
2014-06-01,62666,7,640,992,77,157,64539
2014-06-02,41096,5,2639,630,217,85,44672
2014-06-03,25811,7,2312,627,34,59,28850
2014-06-04,24785,8,2335,646,36,79,27889
2014-06-05,27990,9,2004,592,35,89,30719
2014-06-06,35565,7,2040,657,64,72,38405
2014-06-07,42504,7,686,819,105,195,44316
2014-06-08,55490,7,950,864,124,141,57576
2014-06-09,47683,8,2115,651,88,138,50683
2014-06-10,32259,7,2399,520,56,86,35327
2014-06-11,29056,8,1843,553,51,86,31597
2014-06-12,28504,6,1989,577,82,96,31254
2014-06-13,35609,8,1501,571,81,90,37860
2014-06-14,49802,7,813,914,56,191,51783
2014-06-15,56728,7,707,874,38,124,58478
2014-06-16,34133,7,2873,647,38,78,37776
2014-06-17,32883,9,2216,547,38,71,35764
2014-06-18,35275,8,1992,616,59,88,38038
2014-06-19,38570,8,1142,674,64,100,40558
2014-06-20,47737,10,1408,677,82,98,50012
2014-06-21,54366,8,705,977,85,216,56357
2014-06-22,76705,7,711,1119,178,190,78910
2014-06-23,36167,8,2173,636,82,102,39168
2014-06-24,33172,6,2378,591,64,94,36305
2014-06-25,40571,9,1147,624,35,93,42479
2014-06-26,36140,9,2453,705,83,108,39498
2014-06-27,44274,9,1650,819,101,84,46937
2014-06-28,60928,9,727,1020,114,226,63024
2014-06-29,77374,8,677,1192,143,140,79534
2014-06-30,44773,9,2730,569,72,99,48252
2014-07-01,32423,10,2506,631,67,117,35754
2014-07-02,35755,8,2355,704,60,95,38977
2014-07-03,37424,9,1918,755,80,131,40317
2014-07-04,48489,7,1776,712,101,109,51194
2014-07-05,72025,9,789,1308,118,219,74468
2014-07-06,80389,7,674,1193,219,169,82651
2014-07-07,47094,10,2420,653,99,119,50395
2014-07-08,41468,9,2493,739,46,118,44873
2014-07-09,40079,11,2076,652,61,125,43004
2014-07-10,49151,10,2032,848,44,127,52212
2014-07-11,57757,9,1696,698,164,120,60444
2014-07-12,77341,9,708,957,160,215,79390
2014-07-13,78308,8,640,969,103,137,80165
2014-07-14,49451,9,2719,633,65,113,52990
2014-07-15,43457,10,2376,572,66,138,46619
2014-07-16,43199,10,2383,721,90,143,46546
2014-07-17,50604,10,2067,727,109,140,53657
2014-07-18,72553,9,1850,744,181,115,75452
2014-07-19,95034,8,843,1130,162,240,97417
2014-07-20,102945,7,744,899,236,210,105041
2014-07-21,71970,9,2703,647,54,105,75488
2014-07-22,50484,10,2343,670,83,127,53717
2014-07-23,51205,9,2433,759,112,139,54657
2014-07-24,59719,11,2464,620,133,141,63088
2014-07-25,84718,12,1587,825,231,111,87484
2014-07-26,122976,9,713,890,226,217,125031
2014-07-27,98003,7,661,1115,324,168,100278
2014-07-28,55857,12,2632,496,146,117,59260
2014-07-29,58836,10,1952,582,80,130,61590
2014-07-30,63800,10,2180,746,55,118,66909
2014-07-31,63622,15,2125,836,102,137,66837
2014-08-01,91692,10,1524,726,168,126,94246
2014-08-02,117796,9,643,873,192,223,119736
2014-08-03,113941,9,797,964,138,159,116008
2014-08-04,66015,9,2566,580,116,122,69408
2014-08-05,60013,11,1592,566,59,124,62365
2014-08-06,59993,12,1862,768,77,129,62841
2014-08-07,67960,13,2038,817,121,143,71092
2014-08-08,96094,8,1571,764,198,138,98773
