,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2022-02-28,24761,16,6332,164,5,13,31291
2022-03-01,22068,13,6731,175,5,11,29003
2022-03-02,21666,13,6992,243,10,14,28938
2022-03-03,24869,13,7051,269,8,21,32231
2022-03-04,32727,17,6518,264,13,13,39552
2022-03-05,29946,7,3262,339,6,11,33571
2022-03-06,29441,9,2910,336,3,15,32714
2022-03-07,22744,14,6112,174,11,15,29070
2022-03-08,18505,17,7130,178,5,13,25848
2022-03-09,19153,12,6977,232,11,10,26395
2022-03-10,23436,14,7321,257,14,13,31055
2022-03-11,34120,16,6136,268,16,23,40579
2022-03-12,28328,13,2924,352,9,15,31641
2022-03-13,31035,13,2958,311,8,15,34340
2022-03-14,21828,15,6836,186,12,21,28898
2022-03-15,21538,16,6590,184,15,16,28359
2022-03-16,20930,17,7721,244,15,14,28941
2022-03-17,25472,13,7237,274,14,16,33026
2022-03-18,34387,14,7056,264,13,17,41751
2022-03-19,30055,10,2889,347,12,20,33333
2022-03-20,32858,11,2914,327,9,20,36139
2022-03-21,23829,12,7339,176,14,17,31387
2022-03-22,21316,17,7818,180,12,13,29356
2022-03-23,22100,14,7315,241,9,20,29699
2022-03-24,24817,14,7585,238,11,23,32688
2022-03-25,37545,15,6386,298,23,27,44294
2022-03-26,31146,8,3782,378,19,25,35358
2022-03-27,33356,14,2848,319,20,54,36611
2022-03-28,22947,15,7295,195,8,29,30489
2022-03-29,20547,20,7901,175,15,34,28692
2022-03-30,20827,15,7946,244,15,40,29087
2022-03-31,24071,17,7497,253,6,39,31883
2022-04-01,30787,19,6698,242,22,40,37808
2022-04-02,27129,14,3534,350,20,42,31089
2022-04-03,29723,12,3024,344,15,58,33176
2022-04-04,23828,13,9042,205,15,39,33142
2022-04-05,20755,19,8177,199,16,39,29205
2022-04-06,23141,18,8011,279,12,30,31491
2022-04-07,26676,17,7668,300,16,44,34721
2022-04-08,41037,15,6431,301,14,47,47845
2022-04-09,43627,11,3883,404,15,87,48027
2022-04-10,39327,12,3179,390,27,71,43006
2022-04-11,29743,16,8027,217,27,56,38086
2022-04-12,29032,19,8138,242,32,47,37510
2022-04-13,33586,17,8144,325,27,62,42161
2022-04-14,49315,13,7248,390,42,59,57067
2022-04-15,76905,18,3853,344,49,62,81231
2022-04-16,46053,8,2503,346,19,85,49014
2022-04-17,39261,7,1664,323,5,66,41326
2022-04-18,54767,9,3768,394,28,50,59016
2022-04-19,39260,15,7493,329,13,53,47163
2022-04-20,30676,16,7612,316,13,56,38689
2022-04-21,35650,22,7354,352,19,75,43472
2022-04-22,48869,20,6095,293,17,37,55331
2022-04-23,52166,14,3429,513,28,99,56249
2022-04-24,39023,14,1917,428,22,89,41493
2022-04-25,40230,17,7089,314,34,58,47742
2022-04-26,40732,21,7243,281,22,52,48351
2022-04-27,50281,13,6228,375,45,64,57006
2022-04-28,43904,19,8228,380,34,81,52646
2022-04-29,66913,14,6729,388,35,72,74151
2022-04-30,58713,10,3352,575,40,124,62814
2022-05-01,42141,11,2214,405,35,111,44917
2022-05-02,39698,13,3958,250,31,65,44015
2022-05-03,36352,12,6380,312,24,71,43151
2022-05-04,31266,14,6512,357,36,71,38256
2022-05-05,33712,21,7478,433,30,86,41760
2022-05-06,42311,22,6121,400,39,68,48961
2022-05-07,40829,10,3301,481,37,113,44771
2022-05-08,45766,14,3067,505,23,110,49485
2022-05-09,35006,15,7293,315,31,67,42727
2022-05-10,27908,19,7600,293,35,73,35928
2022-05-11,27837,13,8086,394,29,99,36458
2022-05-12,33704,16,7784,384,43,97,42028
2022-05-13,47280,20,6939,413,46,83,54781
2022-05-14,43747,11,3169,501,41,161,47630
2022-05-15,43352,14,2859,478,61,125,46889
2022-05-16,31698,18,7575,336,48,70,39745
2022-05-17,28478,20,8301,283,35,78,37195
2022-05-18,29679,19,7844,371,37,84,38034
2022-05-19,33238,16,7263,437,42,106,41102
2022-05-20,49400,14,6317,419,63,93,56306
2022-05-21,55061,11,3559,659,54,211,59555
2022-05-22,52728,14,2925,544,48,148,56407
2022-05-23,34974,17,7432,336,43,83,42885
2022-05-24,32540,14,7811,326,24,82,40797
2022-05-25,50437,17,7817,456,54,115,58896
2022-05-26,60201,16,7298,447,70,152,68184
2022-05-27,51293,15,5771,397,71,95,57642
2022-05-28,43740,13,3529,581,48,135,48046
2022-05-29,50421,15,2711,498,30,151,53826
2022-05-30,36226,15,5783,338,68,79,42509
2022-05-31,33759,17,8012,289,73,97,42247
2022-06-01,40189,16,7848,393,121,128,48695
2022-06-02,54816,15,6846,467,372,126,62642
2022-06-03,77632,15,5457,453,139,134,83830
2022-06-04,83866,14,3522,643,125,207,88377
2022-06-05,65607,15,2679,490,91,148,69030
2022-06-06,51684,20,6187,448,86,95,58520
2022-06-07,38601,19,7912,332,61,115,47040
2022-06-08,38460,18,7391,383,67,118,46437
2022-06-09,44287,17,7382,411,53,98,52248
2022-06-10,69186,18,6632,474,123,140,76573
2022-06-11,72066,12,3651,659,101,221,76710
2022-06-12,70346,14,2956,520,96,174,74106
2022-06-13,46319,15,7397,368,99,90,54288
2022-06-14,38805,16,7912,360,80,127,47300
2022-06-15,57845,17,7175,415,93,150,65695
2022-06-16,75018,18,5321,509,137,182,81185
2022-06-17,71346,23,6634,517,123,129,78772
2022-06-18,81031,13,3420,730,144,229,85567
2022-06-19,81392,16,2985,644,111,175,85323
2022-06-20,56945,18,7379,485,95,132,65054
2022-06-21,42175,17,7539,439,93,124,50387
2022-06-22,42418,15,6603,526,110,134,49806
2022-06-23,51502,19,7216,476,105,164,59482
2022-06-24,75963,18,6139,596,133,158,83007
2022-06-25,89059,13,3962,864,163,227,94288
2022-06-26,76613,14,3086,667,117,191,80688
2022-06-27,62979,17,7397,511,125,158,71187
2022-06-28,44215,20,6848,410,76,164,51733
2022-06-29,45100,23,7646,487,75,156,53487
2022-06-30,56887,20,7225,504,148,152,64936
2022-07-01,86578,17,6368,765,142,201,94071
2022-07-02,81297,14,3306,885,231,261,85994
2022-07-03,79199,17,3172,622,179,226,83415
2022-07-04,59970,17,6781,413,165,152,67498
2022-07-05,48462,25,7079,380,83,146,56175
2022-07-06,51260,19,6940,484,81,183,58967
2022-07-07,63546,20,6938,586,70,147,71307
2022-07-08,90032,22,5849,545,94,180,96722
2022-07-09,94511,14,2357,735,163,256,98036
2022-07-10,87022,14,3278,578,209,223,91324
2022-07-11,78143,21,6791,411,115,146,85627
2022-07-12,53501,21,7285,392,134,172,61505
2022-07-13,57035,18,7445,521,109,161,65289
2022-07-14,66731,17,6945,478,150,185,74506
2022-07-15,95959,24,6249,509,180,173,103094
2022-07-16,127436,15,2918,687,274,218,131548
2022-07-17,107237,13,3143,642,112,226,111373
2022-07-18,86870,18,6925,389,182,172,94556
2022-07-19,59266,25,7144,366,156,160,67117
2022-07-20,63275,14,6751,460,189,181,70870
2022-07-21,71129,16,5852,505,149,195,77846
2022-07-22,102687,14,5494,615,206,197,109213
2022-07-23,128318,13,3010,764,253,267,132625
2022-07-24,102877,16,2816,655,165,239,106768
2022-07-25,89959,18,6163,339,152,146,96777
2022-07-26,70007,22,7124,375,84,180,77792
2022-07-27,69814,23,7078,475,89,173,77652
2022-07-28,80998,18,5974,513,146,198,87847
2022-07-29,127866,21,5699,581,249,183,134599
2022-07-30,139531,15,2770,774,263,287,143640
2022-07-31,120266,19,2730,748,299,218,124280
2022-08-01,103697,17,6032,415,284,221,110666
2022-08-02,70867,19,6980,357,195,223,78641
2022-08-03,75815,16,6454,478,194,221,83178
2022-08-04,88210,26,5958,439,193,229,95055
2022-08-05,106811,22,3700,577,341,236,111687
2022-08-06,131690,18,2781,1081,507,337,136414
2022-08-07,109089,13,2603,696,157,290,112848
2022-08-08,99157,20,6777,394,253,180,106781
2022-08-09,73065,18,6474,426,161,240,80384
2022-08-10,76420,15,6097,496,116,227,83371
2022-08-11,86952,22,6231,508,242,232,94187
2022-08-12,114116,22,4882,514,184,186,119904
2022-08-13,133986,11,2476,805,188,309,137775
2022-08-14,113617,16,1544,615,365,258,116415
2022-08-15,106495,11,3511,464,217,213,110911
2022-08-16,77003,26,6536,436,100,203,84304
2022-08-17,76944,11,5752,527,172,172,83578
2022-08-18,81861,19,5909,508,82,211,88590
2022-08-19,105642,21,4937,530,59,162,111351
2022-08-20,114395,13,2432,1033,129,303,118305
2022-08-21,102269,16,2460,831,134,255,105965
2022-08-22,84799,17,6167,520,98,200,91801
2022-08-23,65470,21,6664,420,82,203,72860
2022-08-24,69483,22,6340,526,69,189,76629
2022-08-25,83055,16,5680,531,89,232,89603
2022-08-26,88746,18,5217,613,83,196,94873
2022-08-27,106036,15,2974,838,90,249,110202
2022-08-28,96251,20,2947,698,81,239,100236
2022-08-29,76552,15,6751,469,88,157,84032
2022-08-30,57902,19,7086,408,63,204,65682
2022-08-31,31830,15,6846,436,15,73,39215
2022-09-01,65216,26,6257,431,42,175,72147
2022-09-02,81102,16,5664,552,71,182,87587
2022-09-03,89478,15,3277,752,67,273,93862
2022-09-04,83971,15,2890,622,76,244,87818
2022-09-05,59931,17,7239,428,75,154,67844
2022-09-06,48603,21,6438,425,58,154,55699
2022-09-07,41388,21,6930,479,44,153,49015
2022-09-08,52594,16,6651,570,47,156,60034
2022-09-09,65472,26,5905,590,27,160,72180
2022-09-10,73823,10,3323,780,77,219,78232
2022-09-11,66171,18,2729,618,81,203,69820
2022-09-12,48762,17,6598,481,54,165,56077
2022-09-13,38835,21,7206,402,42,132,46638
2022-09-14,41311,24,6420,458,40,109,48362
2022-09-15,42067,16,6745,483,37,162,49510
2022-09-16,55913,19,5436,604,24,122,62118
2022-09-17,52634,15,3454,787,17,702,57609
2022-09-18,59769,15,2961,562,58,170,63535
2022-09-19,41700,19,6315,484,58,113,48689
2022-09-20,37479,17,6779,463,48,158,44944
2022-09-21,36853,23,6694,510,32,127,44239
2022-09-22,41742,13,6492,529,25,140,48941
2022-09-23,54281,17,6466,551,26,168,61509
2022-09-24,48716,15,3632,723,31,164,53281
2022-09-25,45011,18,2804,609,17,198,48657
2022-09-26,35606,17,6863,465,28,117,43096
2022-09-27,29378,16,7526,400,19,138,37477
2022-09-28,31449,16,7099,502,18,125,39209
2022-09-29,33945,23,6880,486,22,135,41491
2022-09-30,48216,18,5973,495,28,120,54850
2022-10-01,46191,10,3407,608,51,211,50478
2022-10-02,47257,9,2734,578,36,173,50787
2022-10-03,36118,19,7124,393,30,87,43771
2022-10-04,29436,19,7451,407,35,114,37462
2022-10-05,30552,18,6941,554,36,80,38181
2022-10-06,35377,14,7026,449,35,127,43028
2022-10-07,46925,20,6177,421,27,107,53677
2022-10-08,43727,10,3833,660,29,155,48414
2022-10-09,40545,14,3101,506,25,118,44309
2022-10-10,29582,17,6971,363,35,106,37074
2022-10-11,26238,21,7296,350,32,102,34039
2022-10-12,27192,20,7331,430,29,70,35072
2022-10-13,32739,18,8548,440,25,85,41855
2022-10-14,46827,20,6266,435,18,107,53673
2022-10-15,44019,18,3524,635,25,148,48369
2022-10-16,43110,12,2795,539,21,93,46570
2022-10-17,30530,20,7182,347,28,68,38175
2022-10-18,25845,17,6930,368,13,112,33285
2022-10-19,27924,23,6996,406,16,61,35426
2022-10-20,31830,15,6846,436,15,73,39215
2022-10-21,43623,21,6617,441,14,70,50786
2022-10-22,39469,16,3096,581,17,150,43329
2022-10-23,38707,14,3074,537,11,107,42450
2022-10-24,28970,16,7447,333,20,77,36863
2022-10-25,29534,21,7458,339,22,89,37463
2022-10-26,37881,21,7691,409,34,103,46139
2022-10-27,36587,21,6919,421,13,105,44066
2022-10-28,67259,15,6479,422,26,60,74261
2022-10-29,62625,11,3656,617,40,121,67070
2022-10-30,47537,11,2117,422,32,76,50195
2022-10-31,45626,18,3912,289,17,45,49907
2022-11-01,50353,15,3955,312,10,23,54668
2022-11-02,38151,15,7306,354,13,18,45857
2022-11-03,29821,23,6693,376,20,44,36977
2022-11-04,35240,15,6279,328,16,23,41901
