,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2013-04-14,16035,18,657,210,3,24,16947
2013-04-15,19021,12,2114,133,5,24,21309
2013-04-16,17374,15,1686,140,7,22,19244
2013-04-17,18006,13,2139,187,9,25,20379
2013-04-18,19042,14,1928,206,6,26,21222
2013-04-19,20775,13,1567,237,10,27,22629
2013-04-20,23286,16,825,342,6,21,24496
2013-04-21,18290,15,763,240,8,23,19339
2013-04-22,18515,15,2558,220,8,22,21338
2013-04-23,18323,16,2079,201,7,22,20648
2013-04-24,18666,11,2390,252,7,27,21353
2013-04-25,19077,22,1965,215,14,27,21320
2013-04-26,21694,15,2212,312,8,30,24271
2013-04-27,24111,20,685,265,6,22,25109
2013-04-28,18111,21,839,211,5,24,19211
2013-04-29,21204,19,2318,223,44,31,23839
2013-04-30,24116,19,2004,284,7,25,26455
2013-05-01,17679,18,630,268,8,23,18626
2013-05-02,18299,15,1348,235,4,28,19929
2013-05-03,22115,12,1865,264,4,31,24291
2013-05-04,24339,19,840,285,9,31,25523
2013-05-05,17255,21,474,222,14,29,18015
2013-05-06,19227,20,2294,215,14,31,21801
2013-05-07,19776,15,2221,219,14,28,22273
2013-05-08,17729,17,2113,287,3,30,20179
2013-05-09,21067,16,1895,265,7,28,23278
2013-05-10,21050,18,1531,255,3,34,22891
2013-05-11,24339,18,758,414,6,31,25566
2013-05-12,18821,17,749,278,6,31,19902
2013-05-13,17969,19,2257,200,7,32,20484
2013-05-14,18423,17,2164,202,11,17,20834
2013-05-15,19254,16,2310,277,12,21,21890
2013-05-16,20840,15,2490,296,6,21,23668
2013-05-17,22063,16,1681,301,6,21,24088
2013-05-18,23863,18,720,316,11,24,24952
2013-05-19,18789,19,631,285,10,19,19753
2013-05-20,20493,20,2568,255,20,17,23373
2013-05-21,18348,17,2154,213,8,18,20758
2013-05-22,19557,18,2061,282,12,31,21961
2013-05-23,20197,16,2249,287,7,28,22784
2013-05-24,22267,18,2011,313,3,30,24642
2013-05-25,23307,21,761,366,8,32,24495
2013-05-26,16879,18,719,280,18,32,17946
2013-05-27,19369,18,2624,222,11,31,22275
2013-05-28,19147,19,2451,306,11,28,21962
2013-05-29,21202,17,1875,295,13,33,23435
2013-05-30,24738,15,1048,265,6,27,26099
2013-05-31,22952,17,1671,338,12,30,25020
2013-06-01,22698,19,1001,377,7,31,24133
2013-06-02,17141,18,653,286,7,30,18135
2013-06-03,19611,17,2334,266,11,35,22274
2013-06-04,18571,17,2540,261,7,28,21424
2013-06-05,19062,18,2305,274,2,29,21690
2013-06-06,19246,18,1825,250,5,9,21353
2013-06-07,22146,22,1572,303,5,31,24079
2013-06-08,23823,17,974,372,4,33,25223
2013-06-09,18930,21,703,310,8,29,20001
2013-06-10,19428,16,2220,261,8,30,21963
2013-06-11,19244,19,2372,262,5,29,21931
2013-06-12,19593,12,2244,260,7,33,22149
2013-06-13,21235,19,2169,305,5,29,23762
2013-06-14,22761,18,1865,370,5,29,25048
2013-06-15,25251,17,926,390,7,36,26627
2013-06-16,19664,19,740,320,17,32,20792
2013-06-17,20387,18,2444,310,5,34,23198
2013-06-18,19774,16,2217,255,3,29,22294
2013-06-19,19785,13,2349,295,13,30,22485
2013-06-20,20044,14,2325,306,13,32,22734
2013-06-21,24443,12,2131,351,9,37,26983
2013-06-22,30763,16,886,498,7,33,32203
2013-06-23,20629,18,786,328,4,33,21798
2013-06-24,24426,19,2436,340,12,33,27266
2013-06-25,23649,19,1314,314,8,31,25335
2013-06-26,20856,20,2161,288,12,29,23366
2013-06-27,21175,16,2084,240,7,30,23552
2013-06-28,23146,19,2240,345,13,33,25796
2013-06-29,24881,19,1101,334,8,31,26374
2013-06-30,20078,22,663,2000304,12,29,2021108
2013-07-01,19021,21,1964,288,10,34,21338
2013-07-02,17637,18,1953,278,7,30,19923
2013-07-03,18587,17,2127,278,8,34,21051
2013-07-04,19780,14,1780,265,8,30,21877
2013-07-05,22225,14,1680,278,10,32,24239
2013-07-06,23936,19,863,338,9,30,25195
2013-07-07,18899,18,771,292,40,31,20051
2013-07-08,21324,15,2512,281,6,35,24173
2013-07-09,19145,16,2043,237,7,30,21478
2013-07-10,19158,17,2191,244,7,31,21648
2013-07-11,21442,15,2245,284,11,30,24027
2013-07-12,22815,14,1547,292,9,34,24711
2013-07-13,23660,15,962,287,8,32,24964
2013-07-14,20471,20,685,279,5,32,21492
2013-07-15,21599,17,2786,286,14,35,24737
2013-07-16,19218,16,2164,256,8,29,21691
2013-07-17,20270,14,2087,250,7,32,22660
2013-07-18,21128,15,2289,302,5,32,23771
2013-07-19,23791,14,2175,276,9,33,26298
2013-07-20,25779,17,1067,311,9,32,27215
2013-07-21,19774,13,767,266,12,33,20865
2013-07-22,21809,14,2504,282,8,34,24651
2013-07-23,19151,16,2160,264,7,29,21627
2013-07-24,19978,18,2232,272,9,29,22538
2013-07-25,21534,19,1935,208,9,31,23736
2013-07-26,23912,16,1548,301,8,33,25818
2013-07-27,23204,15,661,315,9,34,24238
2013-07-28,20057,16,612,273,10,33,21001
2013-07-29,20490,19,2213,253,7,35,23017
2013-07-30,21374,19,2254,260,11,30,23948
2013-07-31,19808,15,2264,277,11,26,22401
2013-08-01,22072,18,1807,300,10,28,24235
2013-08-02,23909,20,1452,260,10,34,25685
2013-08-03,25621,14,668,314,13,55,26685
2013-08-04,21781,16,673,260,14,29,22773
2013-08-05,25316,15,1559,233,8,35,27166
2013-08-06,20046,18,2058,251,6,31,22410
2013-08-07,20827,12,2059,276,12,13,23199
2013-08-08,21363,16,1814,238,12,37,23480
2013-08-09,22408,12,1478,266,4,34,24202
2013-08-10,26065,17,740,314,7,38,27181
2013-08-11,21607,19,613,314,9,34,22596
2013-08-12,21847,14,1985,243,13,36,24138
2013-08-13,22163,15,1770,257,7,31,24243
2013-08-14,25873,20,1721,312,8,32,27966
2013-08-15,24428,19,621,294,8,50,25420
2013-08-16,24413,21,1392,281,9,40,26156
2013-08-17,26663,19,598,297,12,35,27624
2013-08-18,23244,17,568,327,14,30,24200
2013-08-19,21280,15,2017,266,10,38,23626
2013-08-20,22673,14,1572,255,7,31,24552
2013-08-21,21242,14,2045,275,6,34,23616
2013-08-22,21829,14,2154,255,16,33,24301
2013-08-23,22593,18,1616,320,8,32,24587
2013-08-24,24145,16,625,276,12,37,25111
2013-08-25,19691,17,716,279,8,30,20741
2013-08-26,21977,14,2383,249,10,34,24667
2013-08-27,20141,15,1909,267,6,31,22369
2013-08-28,21208,17,2140,248,8,32,23653
2013-08-29,21537,16,1970,259,10,33,23825
2013-08-30,22189,14,1752,225,16,39,24235
2013-08-31,24181,16,858,310,11,50,25426
2013-09-01,18521,19,660,244,9,35,19488
2013-09-02,20925,18,2750,221,11,37,23962
2013-09-03,20037,17,1869,196,12,30,22161
2013-09-04,19344,29,1932,254,10,35,21604
2013-09-05,21823,14,2367,244,10,31,24489
2013-09-06,21582,16,1571,250,6,32,23457
2013-09-07,27239,16,916,307,7,36,28521
2013-09-08,18960,15,746,297,7,30,20055
2013-09-09,19586,13,2322,229,10,35,22195
2013-09-10,18933,16,2143,249,12,30,21383
2013-09-11,19440,13,2120,270,7,33,21883
2013-09-12,20622,16,2095,290,7,30,23060
2013-09-13,22303,16,1658,289,7,31,24304
2013-09-14,25860,13,649,356,5,29,26912
2013-09-15,21266,17,734,300,8,32,22357
2013-09-16,19764,12,2432,307,16,30,22561
2013-09-17,20199,16,2273,295,3,30,22816
2013-09-18,19440,17,1962,274,14,29,21736
2013-09-19,22323,13,1912,263,7,33,24551
2013-09-20,22569,16,1775,334,6,33,24733
2013-09-21,24417,13,1032,387,7,31,25887
2013-09-22,19667,16,721,324,12,31,20771
2013-09-23,20611,12,2469,252,11,31,23386
2013-09-24,17840,25,2239,280,13,29,20426
2013-09-25,18136,16,2382,321,10,30,20895
2013-09-26,21705,14,2257,345,5,29,24355
2013-09-27,22871,15,1707,295,10,33,24931
2013-09-28,23534,20,756,328,6,34,24678
2013-09-29,19940,15,721,333,4,32,21045
2013-09-30,18832,14,2393,226,7,32,21504
2013-10-01,18985,16,2259,256,11,26,21553
2013-10-02,19027,13,2382,243,10,9,21684
2013-10-03,20047,13,2274,278,5,49,22666
2013-10-04,22202,15,1610,310,7,30,24174
2013-10-05,25145,18,830,403,5,29,26430
2013-10-06,20321,11,825,303,8,33,21501
2013-10-07,21891,15,2823,327,5,28,25089
2013-10-08,26870,19,1520,263,2,27,28701
2013-10-09,17999,18,2213,309,12,29,20580
2013-10-10,19724,17,2290,241,5,27,22304
2013-10-11,22608,15,2044,354,10,29,25060
2013-10-12,24870,15,755,375,9,27,26051
2013-10-13,19340,13,700,295,7,31,20386
2013-10-14,19158,16,2503,221,6,25,21929
2013-10-15,18973,17,2456,235,3,23,21707
2013-10-16,19223,15,2124,257,6,26,21651
2013-10-17,19432,16,2051,267,7,27,21800
2013-10-18,21586,18,1949,300,6,26,23885
2013-10-19,23884,16,855,369,1,24,25149
2013-10-20,18812,19,835,298,5,26,19995
2013-10-21,18546,16,2314,200,4,24,21104
2013-10-22,18210,18,2451,199,9,22,20909
2013-10-23,17254,15,2244,215,5,24,19757
2013-10-24,18974,15,2480,228,6,26,21729
2013-10-25,21105,16,1844,252,10,24,23251
2013-10-26,23461,16,952,295,2,24,24750
2013-10-27,19492,17,663,271,3,23,20469
2013-10-28,18178,13,2512,185,7,21,20916
2013-10-29,18824,18,2532,181,8,18,21581
2013-10-30,22403,16,2294,162,5,23,24903
2013-10-31,27657,16,1639,174,7,20,29513
2013-11-01,30376,18,661,214,2,22,31293
2013-11-02,25942,20,704,161,1,18,26846
2013-11-03,19122,17,746,176,2,23,20086
2013-11-04,19596,19,2579,169,2,20,22385
2013-11-05,17328,15,2440,147,2,16,19948
2013-11-06,17485,15,2270,161,4,24,19959
2013-11-07,18656,19,2247,174,4,20,21120
2013-11-08,20385,12,2010,210,3,23,22643
2013-11-09,20854,17,819,195,2,16,21903
2013-11-10,16970,17,717,170,0,21,17895
2013-11-11,17231,16,2245,123,2,21,19638
2013-11-12,17679,17,2362,127,6,17,20208
2013-11-13,18074,14,1964,146,5,23,20226
2013-11-14,18983,18,2094,135,8,16,21254
2013-11-15,20637,15,1836,152,4,21,22665
2013-11-16,22887,17,983,229,5,18,24139
2013-11-17,16795,15,658,189,6,22,17685
2013-11-18,18165,15,2818,113,7,20,21138
2013-11-19,18213,18,2348,127,3,15,20724
2013-11-20,17570,12,2375,122,6,3,20088
2013-11-21,18316,14,2029,126,5,17,20507
2013-11-22,20723,13,1917,144,5,16,22818
2013-11-23,20752,17,834,195,5,17,21820
2013-11-24,16035,18,765,194,10,22,17044
2013-11-25,17853,16,2423,124,4,21,20441
2013-11-26,17289,17,2074,120,4,16,19520
2013-11-27,16548,18,2003,123,5,22,18719
2013-11-28,17682,14,2296,144,9,20,20165
2013-11-29,20442,14,1909,163,10,21,22559
2013-11-30,20277,18,965,221,3,17,21501
2013-12-01,15497,17,641,162,1,21,16339
2013-12-02,17921,16,2467,116,1,23,20544
2013-12-03,17414,21,2094,114,8,16,19667
2013-12-04,17090,14,2165,121,2,23,19415
2013-12-05,18514,19,2146,124,5,20,20828
2013-12-06,19481,19,2020,146,3,23,21692
2013-12-07,20171,18,649,314,1,16,21169
2013-12-08,15753,17,767,208,3,21,16769
2013-12-09,17402,14,2486,110,1,22,20035
2013-12-10,17332,14,2496,115,3,18,19978
2013-12-11,17984,27,2472,138,3,22,20646
2013-12-12,19227,13,1968,124,10,19,21361
2013-12-13,19583,16,1728,189,2,21,21539
2013-12-14,21654,15,896,377,1,15,22958
2013-12-15,16173,18,757,158,2,21,17129
2013-12-16,17638,23,2383,108,2,18,20172
2013-12-17,18219,22,2493,86,5,2,20827
2013-12-18,18860,15,2147,95,3,21,21141
2013-12-19,20630,18,1759,157,1,20,22585
2013-12-20,21220,19,1524,173,1,20,22957
2013-12-21,23913,20,742,256,3,16,24950
2013-12-22,17044,18,556,182,2,17,17819
2013-12-23,22581,22,1226,138,0,20,23987
2013-12-24,19416,19,543,116,1,9,20104
2013-12-25,11518,14,133,47,0,0,11712
2013-12-26,18154,11,367,106,2,19,18659
2013-12-27,22158,17,944,149,3,22,23293
2013-12-28,20964,16,467,166,4,20,21637
2013-12-29,15943,12,485,164,3,21,16628
2013-12-30,23293,16,935,254,1,22,24521
2013-12-31,18323,20,377,122,1,8,18851
2014-01-01,10032,10,213,91,0,17,10363
2014-01-02,19471,17,893,147,4,21,20553
2014-01-03,21398,19,1085,187,3,23,22715
2014-01-04,29464,15,438,248,0,16,30181
2014-01-05,18526,15,318,168,1,21,19049
2014-01-06,18914,14,841,135,1,23,19928
2014-01-07,16591,15,1647,96,2,17,18368
2014-01-08,18606,16,1837,141,2,20,20622
2014-01-09,17167,17,1737,149,3,18,19091
2014-01-10,19676,16,1469,124,2,19,21306
2014-01-11,22348,15,616,137,0,19,23135
2014-01-12,15612,13,614,139,4,24,16406
2014-01-13,16674,22,2189,92,2,19,18998
2014-01-14,17222,17,1843,99,1,17,19199
2014-01-15,17143,18,2014,94,3,20,19292
2014-01-16,17827,18,1533,119,4,21,19522
2014-01-17,18757,19,1626,111,1,20,20534
2014-01-18,21122,13,668,180,0,15,21998
2014-01-19,15230,17,587,115,1,21,15971
2014-01-20,17378,17,2239,115,1,20,19770
2014-01-21,16725,23,2043,97,2,17,18907
2014-01-22,17106,18,1964,125,4,21,19238
2014-01-23,17229,16,2008,112,3,21,19389
2014-01-24,17088,13,1311,142,0,21,18575
2014-01-25,15354,15,613,237,0,17,16236
2014-01-26,12924,18,547,116,3,24,13632
2014-01-27,15640,16,2047,119,2,22,17846
2014-01-28,14457,17,1503,113,1,16,16107
2014-01-29,13775,18,1756,97,3,21,15670
2014-01-30,15431,16,1609,108,1,19,17184
2014-01-31,17244,16,1348,125,1,21,18755
2014-02-01,17233,12,646,148,0,16,18055
2014-02-02,11233,9,573,127,1,20,11963
2014-02-03,15609,11,2018,107,0,21,17766
2014-02-04,14315,12,1738,117,1,17,16200
2014-02-05,15939,14,1824,138,3,22,17940
2014-02-06,15877,10,1993,110,3,19,18012
2014-02-07,18043,12,1421,122,1,23,19622
2014-02-08,18486,16,625,147,0,14,19288
2014-02-09,14379,14,571,143,2,21,15130
2014-02-10,16962,16,2138,113,2,20,19251
2014-02-11,17485,19,2042,131,2,14,19693
2014-02-12,17135,17,2071,127,5,21,19376
2014-02-13,17750,17,1844,116,5,21,19753
2014-02-14,20395,20,1625,129,3,20,22192
2014-02-15,22429,18,666,201,1,15,23330
2014-02-16,16859,15,625,160,1,22,17682
2014-02-17,16812,16,1936,124,0,20,18908
2014-02-18,16389,12,2255,118,1,15,18790
2014-02-19,17614,18,1960,144,1,22,19759
2014-02-20,18358,15,1961,149,6,18,20507
2014-02-21,18901,16,1425,136,3,20,20501
2014-02-22,20417,15,653,246,0,16,21347
2014-02-23,17040,12,1157,198,1,24,18432
2014-02-24,16792,15,2270,130,6,20,19233
2014-02-25,15834,15,1933,115,1,16,17914
2014-02-26,16411,15,2303,130,4,21,18884
2014-02-27,17420,16,1821,119,4,22,19402
2014-02-28,20628,17,1677,155,1,22,22500
2014-03-01,22075,15,799,233,0,17,23139
2014-03-02,16280,14,694,183,2,21,17194
2014-03-03,18907,14,2460,120,4,21,21526
2014-03-04,15305,14,2093,138,0,17,17567
2014-03-05,16712,16,1849,130,2,23,18732
2014-03-06,18285,15,2047,143,2,18,20510
2014-03-07,20961,13,1638,155,3,21,22791
2014-03-08,22804,14,608,261,0,17,23704
2014-03-09,17716,15,622,170,1,20,18544
2014-03-10,18395,17,2417,145,0,22,20996
2014-03-11,17403,18,2184,124,1,15,19745
2014-03-12,17185,15,2004,125,4,24,19357
2014-03-13,18443,16,2058,153,3,2,20675
2014-03-14,21309,15,1866,148,2,21,23361
2014-03-15,23511,17,725,236,1,16,24506
2014-03-16,19739,18,687,208,2,22,20676
2014-03-17,18337,15,2185,137,1,21,20696
2014-03-18,19661,18,2770,160,6,16,22631
2014-03-19,19296,13,2098,128,1,24,21560
2014-03-20,19256,18,2111,170,7,21,21583
2014-03-21,21190,20,1667,175,3,26,23081
2014-03-22,22505,15,917,218,1,17,23673
2014-03-23,18228,14,646,187,1,23,19099
2014-03-24,18651,20,2501,139,3,26,21340
2014-03-25,17720,19,2350,141,3,16,20249
2014-03-26,18017,19,2783,159,2,24,21004
2014-03-27,16641,19,2266,160,2,19,19107
2014-03-28,20590,20,1818,183,3,24,22638
2014-03-29,22003,15,709,242,2,17,22988
2014-03-30,18659,16,724,232,1,22,19654
2014-03-31,17858,17,2660,141,7,24,20707
2014-04-01,18502,17,2446,142,4,24,21135
2014-04-02,17361,18,1905,139,4,23,19450
2014-04-03,17909,16,2098,187,11,22,20243
2014-04-04,20234,19,1984,201,5,24,22467
2014-04-05,22493,14,848,361,2,20,23738
2014-04-06,17790,18,638,241,4,23,18714
2014-04-07,19502,12,2997,173,3,23,22710
2014-04-08,18232,22,2480,166,2,24,20926
2014-04-09,19751,18,2702,195,3,23,22692
2014-04-10,19489,23,2249,188,6,23,21978
2014-04-11,22562,23,2141,255,3,24,25008
2014-04-12,25321,20,1037,325,2,21,26726
2014-04-13,20122,16,887,278,8,23,21334
2014-04-14,20129,19,2520,196,5,24,22893
2014-04-15,22191,25,3062,198,4,23,25503
2014-04-16,22689,21,2160,219,6,4,25099
2014-04-17,25273,15,2199,272,2,25,27786
2014-04-18,23380,8,1064,201,4,27,24684
2014-04-19,24432,25,452,193,3,22,25127
2014-04-20,15537,20,188,103,1,26,15875
2014-04-21,20506,16,636,270,2,30,21460
2014-04-22,20848,21,2612,217,7,26,23731
2014-04-23,20491,17,2562,183,4,27,23284
2014-04-24,22255,24,2022,222,7,26,24556
2014-04-25,21847,20,1957,324,3,26,24177
2014-04-26,25012,21,877,676,0,23,26609
2014-04-27,18463,19,746,711,14,25,19978
2014-04-28,20452,20,2605,291,21,27,23416
2014-04-29,20277,23,2553,241,4,22,23120
2014-04-30,23145,19,1606,236,4,28,25038
2014-05-01,18381,29,320,301,4,30,19065
2014-05-02,23015,21,842,248,5,29,24160
2014-05-03,22772,22,641,303,0,32,23770
2014-05-04,19745,17,660,278,5,26,20731
2014-05-05,19556,23,2401,223,8,30,22241
2014-05-06,19740,22,2039,221,4,26,22052
2014-05-07,19007,21,2092,325,4,29,21478
2014-05-08,21235,26,1917,242,6,10,23436
2014-05-09,22423,24,1737,305,4,28,24521
2014-05-10,24077,22,840,347,2,30,25318
2014-05-11,18863,18,606,279,2,31,19799
2014-05-12,20050,17,2400,216,7,11,22701
2014-05-13,20028,22,2283,261,4,29,22627
2014-05-14,20121,26,2286,235,2,28,22698
2014-05-15,18939,15,2019,313,4,28,21318
2014-05-16,19851,16,1448,316,3,32,21666
2014-05-17,21477,14,597,504,5,18,22615
2014-05-18,16415,17,522,285,9,31,17279
2014-05-19,17439,15,2246,270,10,30,20010
2014-05-20,16633,20,2048,251,5,30,18987
2014-05-21,17572,17,2182,273,10,26,20080
2014-05-22,17831,20,2421,265,2,26,20565
2014-05-23,19012,20,1784,350,9,31,21206
2014-05-24,21431,19,761,369,6,34,22620
2014-05-25,19383,20,698,297,6,34,20438
2014-05-26,19310,19,2601,246,8,31,22215
2014-05-27,18010,24,2091,250,9,27,20411
2014-05-28,18045,17,1888,273,5,30,20258
2014-05-29,17062,22,1907,288,5,29,19313
2014-05-30,21585,17,1775,303,6,32,23718
2014-05-31,22273,21,828,363,4,31,23520
2014-06-01,18999,19,640,318,14,32,20022
2014-06-02,19230,22,2639,267,14,32,22204
2014-06-03,18152,22,2312,260,7,11,20764
2014-06-04,18869,22,2335,320,7,29,21582
2014-06-05,19333,23,2004,276,9,29,21674
2014-06-06,21165,20,2040,342,5,29,23601
2014-06-07,22891,20,686,346,2,32,23977
2014-06-08,19725,20,950,342,7,32,21076
2014-06-09,20392,21,2115,243,8,30,22809
2014-06-10,19714,23,2399,269,9,45,22459
2014-06-11,18814,17,1843,233,11,33,20951
2014-06-12,19428,16,1989,285,11,32,21761
2014-06-13,19328,20,1501,304,3,32,21188
2014-06-14,23704,20,813,349,4,34,24924
2014-06-15,19747,19,707,278,10,31,20792
2014-06-16,21207,21,2873,335,7,31,24474
2014-06-17,18988,22,2216,287,16,32,21561
2014-06-18,21351,22,1992,315,8,30,23718
2014-06-19,25258,22,1142,299,6,30,26757
2014-06-20,22046,19,1408,338,10,34,23855
2014-06-21,22643,19,705,360,4,35,23766
2014-06-22,20400,17,711,350,10,32,21520
2014-06-23,19674,24,2173,268,12,31,22182
2014-06-24,21095,24,2378,319,6,32,23854
2014-06-25,22892,22,1147,342,6,31,24440
2014-06-26,21049,29,2453,500,7,31,24069
2014-06-27,22617,21,1650,274,8,35,24605
2014-06-28,23632,24,727,342,4,34,24763
2014-06-29,20863,22,677,326,15,31,21934
2014-06-30,20967,20,2730,256,4,33,24010
2014-07-01,19386,24,2506,273,6,31,22226
2014-07-02,19299,27,2355,304,8,12,22005
2014-07-03,21767,29,1918,315,5,29,24063
2014-07-04,22293,25,1776,291,6,30,24421
2014-07-05,25226,28,789,403,5,34,26485
2014-07-06,21244,28,674,262,9,31,22248
2014-07-07,23077,23,2420,302,5,32,25859
2014-07-08,22237,30,2493,260,6,32,25058
2014-07-09,21680,26,2076,254,8,34,24078
2014-07-10,22452,27,2032,310,5,28,24854
2014-07-11,23227,27,1696,338,10,30,25328
2014-07-12,25003,22,708,311,8,33,26085
2014-07-13,19521,24,640,277,2,36,20500
2014-07-14,21528,19,2719,244,7,30,24547
2014-07-15,22791,24,2376,277,5,32,25505
2014-07-16,22074,25,2383,309,10,37,24838
2014-07-17,21895,24,2067,281,10,33,24310
2014-07-18,25585,23,1850,314,18,32,27822
2014-07-19,27318,21,843,297,8,35,28522
2014-07-20,22994,23,744,277,12,34,24084
2014-07-21,24382,25,2703,257,9,34,27410
2014-07-22,20208,27,2343,245,9,31,22863
2014-07-23,21615,25,2433,268,9,28,24378
2014-07-24,23244,26,2464,272,8,29,26043
2014-07-25,25220,24,1587,281,8,32,27152
2014-07-26,25181,22,713,306,12,41,26275
2014-07-27,21060,24,661,229,25,32,22031
2014-07-28,21837,21,2632,258,12,30,24790
2014-07-29,22270,25,1952,266,7,32,24552
2014-07-30,21509,24,2180,264,8,33,24018
2014-07-31,23899,33,2125,286,10,32,26385
2014-08-01,25418,26,1524,281,14,33,27296
2014-08-02,29350,22,643,301,15,33,30364
2014-08-03,22617,23,797,272,9,32,23750
2014-08-04,22913,24,2566,231,7,30,25771
2014-08-05,25312,28,1592,276,7,31,27246
2014-08-06,22923,27,1862,266,6,32,25116
2014-08-07,21021,29,2038,267,13,28,23396
2014-08-08,25577,23,1571,270,15,29,27485
2014-08-09,28414,22,729,332,9,35,29541
2014-08-10,22901,20,701,272,19,32,23945
