,osobni automobili,vlakovi,teretna vozila,autobusi,plovila,zrakoplovi,UKUPNO
2013-09-17,18935,14,2267,305,4,28,21553
2013-09-18,18473,13,2074,250,12,30,20852
2013-09-19,21283,11,2067,230,17,33,23641
2013-09-20,21422,13,2285,289,8,35,24052
2013-09-21,22944,12,1362,361,12,31,24722
2013-09-22,20861,14,380,372,5,29,21661
2013-09-23,19577,10,1771,255,6,32,21651
2013-09-24,16420,23,2091,256,8,30,18828
2013-09-25,16989,15,2255,280,12,30,19581
2013-09-26,20284,12,2333,351,13,31,23024
2013-09-27,21288,13,2136,277,14,33,23761
2013-09-28,21694,12,1161,296,12,32,23207
2013-09-29,19643,16,467,337,4,30,20497
2013-09-30,17853,12,1439,213,4,29,19550
2013-10-01,18047,13,2146,276,4,26,20512
2013-10-02,18742,10,2340,229,7,8,21336
2013-10-03,18830,9,2452,261,7,55,21614
2013-10-04,20408,11,2281,255,11,30,22996
2013-10-05,21768,16,1184,338,6,32,23344
2013-10-06,18850,12,350,377,2,29,19620
2013-10-07,20132,13,1865,326,4,27,22367
2013-10-08,28268,15,1667,320,1,27,30298
2013-10-09,18232,13,2007,251,11,28,20542
2013-10-10,18593,11,2168,247,10,27,21056
2013-10-11,24310,12,2772,289,7,28,27418
2013-10-12,22458,13,1376,328,5,27,24207
2013-10-13,19150,12,366,378,8,30,19944
2013-10-14,18348,13,1753,238,8,25,20385
2013-10-15,17627,13,2254,242,4,25,20165
2013-10-16,18678,10,1942,240,7,26,20903
2013-10-17,19168,13,2047,258,9,27,21522
2013-10-18,20165,13,2260,219,6,26,22689
2013-10-19,21286,12,1343,286,4,27,22958
2013-10-20,18880,13,367,353,1,27,19641
2013-10-21,17964,14,1762,213,3,22,19978
2013-10-22,17124,15,2397,194,5,24,19759
2013-10-23,16281,13,2172,195,5,25,18691
2013-10-24,18331,11,2383,211,9,24,20969
2013-10-25,20848,14,2434,205,4,26,23531
2013-10-26,21582,12,1237,235,2,25,23093
2013-10-27,19735,17,348,279,2,21,20402
2013-10-28,17767,11,2127,199,6,23,20133
2013-10-29,18236,16,2169,183,4,16,20624
2013-10-30,21032,13,2331,150,6,22,23554
2013-10-31,23086,12,1956,176,7,21,25258
2013-11-01,26669,15,771,205,8,21,27689
2013-11-02,25536,17,928,165,11,15,26672
2013-11-03,24978,12,335,175,1,21,25522
2013-11-04,18504,12,1961,161,1,22,20661
2013-11-05,17308,13,2012,148,3,15,19499
2013-11-06,17180,11,2375,149,2,23,19740
2013-11-07,17919,16,2428,145,2,23,20533
2013-11-08,19665,11,2703,186,2,23,22590
2013-11-09,20162,13,1477,193,4,15,21864
2013-11-10,17712,13,313,190,1,21,18250
2013-11-11,16821,11,1615,127,1,21,18596
2013-11-12,17413,13,2142,140,4,15,19727
2013-11-13,16909,11,2031,126,5,21,19103
2013-11-14,18210,15,2173,131,7,16,20552
2013-11-15,20334,11,2165,137,3,22,22672
2013-11-16,21227,13,1347,214,6,18,22825
2013-11-17,17270,12,317,204,4,21,17828
2013-11-18,17001,12,2095,140,8,19,19275
2013-11-19,17757,15,2587,137,4,17,20517
2013-11-20,16579,10,2225,128,5,3,18950
2013-11-21,17652,11,2326,128,3,19,20139
2013-11-22,19956,11,2587,141,5,14,22714
2013-11-23,20533,14,1240,181,6,16,21990
2013-11-24,17642,15,331,211,12,19,18230
2013-11-25,17377,13,1855,150,4,23,19422
2013-11-26,16989,14,2298,118,6,15,19440
2013-11-27,15439,15,2133,118,5,21,17731
2013-11-28,17432,11,2232,137,6,21,19839
2013-11-29,19679,11,2510,123,9,23,22355
2013-11-30,19714,16,1266,201,5,14,21216
2013-12-01,15736,13,299,195,0,20,16263
2013-12-02,17021,15,1843,133,1,23,19036
2013-12-03,16827,17,2108,127,7,17,19103
2013-12-04,16255,11,2115,107,1,22,18511
2013-12-05,18218,16,2155,114,5,20,20528
2013-12-06,18719,13,2574,137,5,21,21469
2013-12-07,18544,12,989,254,2,15,19816
2013-12-08,16055,16,318,246,2,20,16657
2013-12-09,16793,11,1730,122,2,23,18681
2013-12-10,16854,13,2246,115,4,15,19247
2013-12-11,17916,19,2600,131,5,21,20692
2013-12-12,18129,11,2154,139,8,21,20462
2013-12-13,18420,14,2266,154,2,20,20876
2013-12-14,21365,13,1207,353,1,15,22954
2013-12-15,17177,16,336,271,2,20,17822
2013-12-16,16844,16,1764,132,2,21,18779
2013-12-17,16907,18,2250,95,3,2,19275
2013-12-18,18230,10,2362,92,1,20,20715
2013-12-19,20450,15,2166,145,5,18,22799
2013-12-20,21531,16,2407,176,3,19,24152
2013-12-21,24579,17,1407,305,3,15,26326
2013-12-22,18068,13,376,215,0,19,18691
2013-12-23,21029,19,1556,150,2,21,22777
2013-12-24,18212,17,899,106,2,9,19245
2013-12-25,11043,12,140,41,2,0,11238
2013-12-26,18228,12,242,90,0,14,18586
2013-12-27,20552,12,962,132,1,23,21682
2013-12-28,19456,13,676,139,5,17,20306
2013-12-29,15846,12,272,137,2,19,16288
2013-12-30,21508,16,999,217,0,22,22762
2013-12-31,15587,17,572,117,2,9,16304
2014-01-01,10978,8,108,181,1,12,11288
2014-01-02,18375,15,592,192,3,20,19197
2014-01-03,18633,14,1116,145,2,23,19933
2014-01-04,19092,13,602,153,2,16,19878
2014-01-05,16403,11,185,147,0,20,16766
2014-01-06,19249,12,449,153,0,23,19886
2014-01-07,15695,14,1260,109,3,15,17096
2014-01-08,16950,13,1602,119,3,20,18707
2014-01-09,16705,17,1582,115,2,19,18440
2014-01-10,19617,14,1918,137,0,21,21707
2014-01-11,27141,17,1051,194,2,17,28422
2014-01-12,18033,13,301,236,2,21,18606
2014-01-13,15585,20,1542,108,3,21,17279
2014-01-14,16277,15,1603,108,2,16,18021
2014-01-15,16625,17,2061,104,3,20,18830
2014-01-16,17507,17,1935,121,2,21,19603
2014-01-17,17603,13,2034,123,0,23,19796
2014-01-18,20221,11,998,163,1,14,21408
2014-01-19,15418,15,230,128,0,21,15812
2014-01-20,16631,13,1424,118,2,23,18211
2014-01-21,16497,16,1989,108,1,16,18627
2014-01-22,16463,14,1834,106,4,21,18442
2014-01-23,17060,14,2165,103,4,21,19367
2014-01-24,16978,14,1923,139,2,24,19080
2014-01-25,14654,12,1132,169,1,15,15983
2014-01-26,12932,14,248,125,3,23,13345
2014-01-27,15137,16,1666,115,1,23,16958
2014-01-28,13402,15,1716,121,2,15,15271
2014-01-29,13461,15,1771,104,3,26,15380
2014-01-30,14781,13,1801,105,0,18,16718
2014-01-31,16998,15,2016,121,3,23,19176
2014-02-01,16963,12,1076,156,0,15,18222
2014-02-02,12066,11,258,130,2,20,12487
2014-02-03,15225,9,1308,126,0,22,16690
2014-02-04,14370,12,1831,115,1,15,16344
2014-02-05,15384,16,1708,128,7,21,17264
2014-02-06,15503,11,2005,113,2,20,17654
2014-02-07,17647,13,1984,115,0,22,19781
2014-02-08,18070,15,1022,133,2,14,19256
2014-02-09,15025,10,254,158,3,20,15470
2014-02-10,16392,14,1495,123,1,23,18048
2014-02-11,16100,16,1801,119,3,14,18053
2014-02-12,17101,16,1846,112,3,18,19096
2014-02-13,17393,15,1889,133,3,20,19453
2014-02-14,19745,14,2093,135,1,22,22010
2014-02-15,21446,14,1060,171,6,14,22711
2014-02-16,17781,12,267,182,0,21,18263
2014-02-17,16255,17,1361,136,1,22,17792
2014-02-18,15947,11,1971,136,5,13,18083
2014-02-19,16860,14,1820,133,0,22,18849
2014-02-20,17850,17,2246,129,4,19,20265
2014-02-21,19839,14,2145,146,2,19,22165
2014-02-22,20662,15,1071,198,4,15,21965
2014-02-23,16549,12,329,197,0,22,17109
2014-02-24,16851,18,1687,127,3,23,18709
2014-02-25,15449,14,2019,114,3,14,17613
2014-02-26,15926,16,2136,116,5,21,18220
2014-02-27,17171,16,2089,121,3,22,19422
2014-02-28,19951,12,2269,152,3,22,22409
2014-03-01,20420,14,1190,248,1,15,21888
2014-03-02,16624,12,259,219,0,21,17135
2014-03-03,17840,13,1779,151,3,22,19808
2014-03-04,15395,16,2077,134,1,15,17638
2014-03-05,16095,15,1974,128,2,21,18235
2014-03-06,18684,13,2215,155,2,20,21089
2014-03-07,20267,16,2191,138,4,24,22640
2014-03-08,21757,14,1153,229,1,15,23169
2014-03-09,18808,16,270,187,0,21,19302
2014-03-10,16679,17,1845,149,0,24,18714
2014-03-11,16834,19,2157,137,3,15,19165
2014-03-12,16992,14,2018,128,4,23,19179
2014-03-13,17565,15,2474,121,2,2,20179
2014-03-14,20052,11,2409,150,1,24,22647
2014-03-15,22730,16,1053,196,2,15,24012
2014-03-16,19715,16,307,206,2,19,20265
2014-03-17,17991,12,1667,132,1,23,19826
2014-03-18,17205,14,2442,166,3,17,19847
2014-03-19,18724,14,2043,140,3,22,20946
2014-03-20,18481,16,2303,138,7,23,20968
2014-03-21,20164,16,2586,163,3,26,22958
2014-03-22,21231,14,1331,203,5,16,22800
2014-03-23,18626,14,360,231,0,24,19255
2014-03-24,17880,17,1872,141,0,23,19933
2014-03-25,17478,18,2222,142,3,16,19879
2014-03-26,17224,18,2450,147,3,22,19864
2014-03-27,17026,16,2434,149,2,19,19646
2014-03-28,21280,16,2717,161,2,21,24197
2014-03-29,20335,12,1168,223,3,15,21756
2014-03-30,18854,15,343,216,1,23,19452
2014-03-31,17726,17,1970,148,2,24,19887
2014-04-01,17588,17,2645,152,7,22,20431
2014-04-02,17126,15,2249,140,5,24,19559
2014-04-03,18069,16,2403,182,6,22,20698
2014-04-04,19417,15,2492,160,2,24,22110
2014-04-05,20580,14,1170,307,4,20,22095
2014-04-06,18535,16,377,299,1,24,19252
2014-04-07,18390,14,2084,187,1,23,20699
2014-04-08,17727,22,2288,164,10,24,20235
2014-04-09,19348,14,2486,187,3,24,22062
2014-04-10,18768,20,2452,172,5,22,21439
2014-04-11,22012,20,2907,205,5,24,25173
2014-04-12,25422,18,1479,279,3,21,27222
2014-04-13,20960,13,353,317,14,23,21680
2014-04-14,18934,13,1910,210,3,26,21096
2014-04-15,21314,21,2499,208,9,22,24073
2014-04-16,23642,20,2548,225,3,8,26446
2014-04-17,25459,12,3016,287,7,26,28807
2014-04-18,23541,9,1941,264,11,28,25794
2014-04-19,23652,23,854,207,5,22,24763
2014-04-20,14570,15,131,107,2,26,14851
2014-04-21,25481,18,297,238,4,26,26064
2014-04-22,20639,20,1598,207,2,23,22489
2014-04-23,20018,17,2357,207,6,26,22631
2014-04-24,22466,20,2340,207,6,24,25063
2014-04-25,22135,19,2734,207,7,27,25129
2014-04-26,24625,20,1146,672,4,23,26490
2014-04-27,19548,19,359,715,2,26,20669
2014-04-28,20460,18,2176,337,3,28,23022
2014-04-29,20528,20,2693,224,5,21,23491
2014-04-30,24600,19,2488,270,7,27,27411
2014-05-01,18196,27,493,255,23,29,19023
2014-05-02,21178,20,1091,238,11,29,22567
2014-05-03,22051,20,941,305,2,31,23350
2014-05-04,24499,16,344,403,1,24,25287
2014-05-05,18796,18,1482,244,5,29,20574
2014-05-06,19118,15,1923,218,7,26,21307
2014-05-07,19287,16,2298,271,5,30,21907
2014-05-08,21128,16,2235,245,4,10,23638
2014-05-09,22041,21,2481,309,5,29,24886
2014-05-10,22739,20,1644,311,6,31,24751
2014-05-11,19861,17,348,354,4,30,20614
2014-05-12,18958,18,1829,214,3,11,21033
2014-05-13,19529,19,2459,258,5,30,22300
2014-05-14,19770,20,1965,223,5,29,22012
2014-05-15,18931,15,2577,306,3,29,21861
2014-05-16,20148,15,2333,254,6,32,22788
2014-05-17,21222,13,1224,512,5,18,22994
2014-05-18,16018,17,331,340,4,32,16742
2014-05-19,17056,17,2099,295,4,29,19500
2014-05-20,16051,18,2023,293,6,29,18420
2014-05-21,16658,14,2220,267,10,28,19197
2014-05-22,17620,22,2422,293,10,26,20393
2014-05-23,20391,21,2553,351,13,29,23358
2014-05-24,20666,15,1219,360,5,33,22298
2014-05-25,18835,18,392,326,2,33,19606
2014-05-26,18335,15,1977,284,3,29,20643
2014-05-27,18237,20,2437,264,5,29,20992
2014-05-28,18189,16,2235,281,12,32,20765
2014-05-29,17771,18,2154,290,12,30,20275
2014-05-30,21563,15,2484,287,9,33,24391
2014-05-31,22272,16,1367,370,6,29,24060
2014-06-01,19317,19,362,364,1,31,20094
2014-06-02,18994,15,1798,275,2,30,21114
2014-06-03,18146,17,2072,281,7,11,20534
2014-06-04,18486,19,2538,284,9,29,21365
2014-06-05,19773,21,2478,276,17,29,22594
2014-06-06,24396,20,2579,331,15,32,27373
2014-06-07,22423,17,1372,347,4,32,24195
2014-06-08,21619,18,582,383,5,31,22638
2014-06-09,19558,21,1444,289,4,31,21347
2014-06-10,18301,22,2231,284,5,39,20882
2014-06-11,18517,16,2141,238,12,31,20955
2014-06-12,19541,16,2496,318,14,30,22415
2014-06-13,18848,20,2506,296,9,29,21708
2014-06-14,21490,19,1517,360,5,34,23425
2014-06-15,20770,13,350,314,4,30,21481
2014-06-16,20463,16,2091,348,5,31,22954
2014-06-17,18864,23,2187,342,5,30,21451
2014-06-18,22034,16,2388,318,9,31,24796
2014-06-19,25347,18,1300,287,15,31,26998
2014-06-20,21631,18,2190,326,10,33,24208
2014-06-21,21484,17,1371,375,9,33,23289
2014-06-22,21739,16,392,354,6,33,22540
2014-06-23,19954,20,1760,281,5,30,22050
2014-06-24,20313,24,2703,329,6,33,23408
2014-06-25,23448,16,1186,352,9,32,25043
2014-06-26,22098,17,2863,487,9,31,25505
2014-06-27,22080,18,2463,292,12,36,24901
2014-06-28,23009,19,1262,367,9,35,24701
2014-06-29,23025,17,456,349,5,30,23882
2014-06-30,21142,18,2099,294,5,30,23588
2014-07-01,20151,19,2213,291,7,31,22712
2014-07-02,18544,22,2489,284,9,11,21359
2014-07-03,21822,21,2420,325,4,29,24621
2014-07-04,21536,24,2617,310,17,32,24536
2014-07-05,25390,18,1447,398,6,34,27293
2014-07-06,23663,20,413,287,4,31,24418
2014-07-07,22316,18,1990,338,7,30,24699
2014-07-08,22404,20,2353,271,9,33,25090
2014-07-09,21361,18,2283,300,10,32,24004
2014-07-10,22587,18,2439,318,7,32,25401
2014-07-11,23228,18,2714,310,8,32,26310
2014-07-12,26594,17,1185,322,7,33,28158
2014-07-13,22253,22,412,296,6,35,23024
2014-07-14,21830,21,1954,264,8,30,24107
2014-07-15,22938,19,2486,328,8,34,25813
2014-07-16,22494,22,2645,389,9,31,25590
2014-07-17,23733,22,2343,300,8,37,26443
2014-07-18,25252,21,2714,252,19,32,28290
2014-07-19,27653,18,1278,332,8,33,29322
2014-07-20,25129,18,370,299,8,35,25859
2014-07-21,24210,19,2064,272,8,35,26608
2014-07-22,20208,23,2468,259,6,32,22996
2014-07-23,22204,19,2511,277,15,31,25057
2014-07-24,23467,22,2406,261,9,29,26194
2014-07-25,24491,21,2373,295,15,33,27228
2014-07-26,25201,19,1404,278,8,33,26943
2014-07-27,23188,18,405,228,24,33,23896
2014-07-28,23138,16,1855,288,5,30,25332
2014-07-29,23293,23,2077,277,11,31,25712
2014-07-30,22318,21,2101,242,15,30,24727
2014-07-31,24033,26,2561,322,6,34,26982
2014-08-01,25482,25,2596,271,9,37,28420
2014-08-02,29376,18,1101,340,13,35,30883
2014-08-03,23622,17,545,325,9,31,24549
2014-08-04,24674,21,1751,246,7,29,26728
2014-08-05,26589,21,1623,310,9,33,28585
2014-08-06,23819,21,1971,275,11,31,26128
2014-08-07,21738,21,2215,280,13,35,24302
